Fiscal_Year_Released,Recidivism_Reporting_Year,Age_At_Release,Days_To_Return,Release_Type,Race_Ethnicity,Sex,Offense_Classification,Offense_Type,Offense_Subtype,Return_To_Prison,Recidivism_Type,New_Offense_Classification,New_Offense_Type,New_Offense_Subtype
2010,2013,2,0,2,9,1,3,3,23,1,2,0,0,0
2010,2013,3,0,4,10,1,3,3,23,1,2,0,0,0
2010,2013,1,0,2,9,2,7,1,25,1,2,0,0,0
2010,2013,4,0,4,10,2,6,5,11,1,2,0,0,0
2010,2013,3,275,4,10,2,6,3,6,2,1,13,4,8
2010,2013,3,0,4,7,2,6,3,9,1,2,0,0,0
2010,2013,3,0,4,7,2,6,3,9,1,2,0,0,0
2010,2013,1,0,4,7,2,6,1,25,1,2,0,0,0
2010,2013,4,283,4,10,2,5,1,25,2,1,6,1,7
2010,2013,1,0,12,10,2,3,2,2,1,2,0,0,0
2010,2013,4,0,4,10,1,4,1,25,1,2,0,0,0
2010,2013,4,0,4,7,2,4,2,12,1,2,0,0,0
2010,2013,3,513,4,7,2,5,1,25,2,3,0,0,0
2010,2013,4,763,2,10,2,3,5,1,2,1,13,5,1
2010,2013,3,191,4,10,2,3,5,1,2,3,0,0,0
2010,2013,3,0,4,10,2,6,4,16,1,2,0,0,0
2010,2013,4,0,2,10,2,6,5,15,1,2,0,0,0
2010,2013,4,0,4,10,2,6,1,13,1,2,0,0,0
2010,2013,3,0,4,10,2,6,3,6,1,2,0,0,0
2010,2013,3,0,2,10,2,6,3,6,1,2,0,0,0
2010,2013,3,0,2,10,2,6,3,6,1,2,0,0,0
2010,2013,3,0,2,10,2,6,3,6,1,2,0,0,0
2010,2013,3,0,2,10,2,6,3,6,1,2,0,0,0
2010,2013,3,0,2,10,2,6,3,6,1,2,0,0,0
2010,2013,3,0,2,10,2,6,3,6,1,2,0,0,0
2010,2013,3,0,2,10,2,6,3,6,1,2,0,0,0
2010,2013,2,89,2,10,2,6,5,19,2,3,0,0,0
