Fiscal _Year_Released,Recidivism_Reporting_Year,Age_At_Release,Days_To_Return,Release_Type,Race_Ethnicity,Sex,Offense_Classification,Offense_Type,Offense_Subtype,New_Offense_Classification,New_Offense_Type,New_Offense_Subtype,Return_To_Prison,Recidivism_Type
2010.0,2013.0,1.0,0.0,2.0,7.0,2.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,1.0,0.0,2.0,7.0,2.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,1.0,0.0,2.0,7.0,2.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,1.0,0.0,2.0,7.0,2.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,1.0,0.0,2.0,7.0,2.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,1.0,0.0,2.0,7.0,2.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,0.0,4.0,11.0,2.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,3.0,377.0,2.0,11.0,2.0,4.0,0.0,5.0,5.0,6.0,21.0,1.0,0.0
2010.0,2013.0,2.0,473.0,2.0,7.0,2.0,1.0,2.0,21.0,2.0,6.0,24.0,1.0,0.0
2010.0,2013.0,1.0,776.0,2.0,11.0,2.0,1.0,3.0,25.0,2.0,6.0,24.0,1.0,0.0
2010.0,2013.0,2.0,0.0,2.0,7.0,1.0,4.0,2.0,21.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,0.0,2.0,7.0,1.0,4.0,2.0,21.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,0.0,2.0,7.0,1.0,4.0,2.0,21.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,3.0,0.0,4.0,2.0,1.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,4.0,0.0,4.0,11.0,2.0,1.0,3.0,22.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,5.0,411.0,2.0,11.0,2.0,4.0,2.0,21.0,2.0,7.0,22.0,1.0,0.0
2010.0,2013.0,4.0,0.0,2.0,7.0,2.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,4.0,301.0,4.0,11.0,2.0,3.0,4.0,3.0,0.0,0.0,0.0,1.0,2.0
